|Unnamed: 0|Name|Deutscher Name|UUID des Taxons|UUID des direkt übergeordneten Taxons|Synonyme|Konzeptbeziehungen|Jahrzehnt|Auswertung|Taxa|Arten|Oberste Taxa|Status|Neobiota|Aktuelle Bestandssituation|kurzfristiger Bestandstrend|Langfristiger Bestandstrend|Sonderfälle|Letzter Nachweis|RL Kat.|Risikofaktoren|Risikofaktoren (Kürzel 1)|Risikofaktoren (Kürzel 2)|Risikofaktoren (Kürzel 3)|Taxonomischer Bezug|alte RL- Kat.|Kat. +/-|Grund der Kategorieänderung 1|Grund der Kategorieänderung 2|Grund der Kategorieänderung 3|Kommentar zur Taxonomie|Kommentar zur Gefährdung|Kommentar zur Nachsuche|Weitere Kommentare|Anteil|Lage|Gefährdung|Verantwortlichkeit|Endemit|Kommentar zur Verantwortlichkeit
4883|4883|Tephroseris integrifolia subsp. integrifolia|Steppen-Aschenkraut|4267e1c4-f1c6-41da-bdcf-4be5536a09eb|620f0b11-5971-4fd5-8395-fa0d5f5d22a8||≙Tephroseris integrifolia subsp. integrifolia||I|Taxa|||I||Extrem selten|(v)|Starker Rückgang|S||2|=||||≙|2|=||||||||A0|Lr|G+|||
4884|4884|Tephroseris integrifolia subsp. vindelicorum Krach|Lechtaler Steppen-Aschenkraut|43866544-fa04-4241-950b-1136b8c92ae3|620f0b11-5971-4fd5-8395-fa0d5f5d22a8||≙Tephroseris integrifolia subsp. vindelicorum Krach||I|Taxa|||I||Extrem selten|(v)|Mäßiger Rückgang|||1|=||||≙|1|=||||||||AE|||!!|E|
4885|4885|Tephroseris palustris (L.) Rchb.|Moor-Aschenkraut|b536fabe-e5ca-49da-a529-ca72839cadc4|||≙Tephroseris palustris (L.) Rchb.||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|(v)|Mäßiger Rückgang|||V|=||||≙|*|-|K|||||||A0|Lh|G+|||
4886|4886|Tephroseris tenuifolia (Gaudin) Holub|Schweizer Aschenkraut|923768d7-adec-42c1-b09e-eec4573c499f|||≙Tephroseris tenuifolia (Gaudin) Holub||S|Taxa|Arten|Oberste Taxa|I||Extrem selten|=|Gleich bleibend|||R|=||||≙|R|=||||||||A0|Lr|G+|||
4887|4887|Teucrium botrys L.|Trauben-Gamander|5835c81a-cfb9-4930-8e14-02ca722e9ea3|||≙Teucrium botrys L.||S|Taxa|Arten|Oberste Taxa|I||Mäßig häufig|(v)|Mäßiger Rückgang|||V|=||||≙|*|-|R|||||||A0|Lr|G+|||
4888|4888|Teucrium chamaedrys L.|Edel-Gamander|b5d60732-43c7-4da9-9440-639c1a731635|||≙Teucrium chamaedrys L.||M||Arten|Oberste Taxa|I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||≙|*|=|||||||In nicht regionalisierten Ansaatmischungen enthalten.|A0|Lh|G+|||
4889|4889|Teucrium chamaedrys subsp. chamaedrys|Edel-Gamander|f8c46bf2-4e62-4387-b696-390b7197dab3|b5d60732-43c7-4da9-9440-639c1a731635|Teucrium chamaedrys subsp. germanicum|>Teucrium chamaedrys subsp. chamaedrys#>Teucrium chamaedrys subsp. germanicum||I|Taxa|||I||Mäßig häufig|=|Mäßiger Rückgang|||*|=||||>|*|=|||||Südlich der Donau auch mit kurzfristiger Abnahme.|||A0|Lh|G+|||
4890|4890|Teucrium montanum L.|Berg-Gamander|45463752-46de-48d2-8c7e-225ffde2849d|||≙Teucrium montanum L.||M||Arten|Oberste Taxa|I||Selten|=|Mäßiger Rückgang|||V|=||||≙|V|=||||||||A0|Lh|G+|||
4891|4891|Teucrium montanum subsp. montanum|Berg-Gamander|149f2421-3f59-4894-827d-358761ac00e5|45463752-46de-48d2-8c7e-225ffde2849d|Teucrium montanum|≙Teucrium montanum||I|Taxa|||I||Selten|=|Mäßiger Rückgang|||V|=||||≙|V|=||||||||A0|Lh|G+|||
4892|4892|Teucrium scordium L.|Lauch-Gamander|0de774fb-fabc-4539-93bb-887c90b68234|||≙Teucrium scordium L.||M||Arten|Oberste Taxa|I||Selten|(v)|Starker Rückgang|||2|=||||≙|2|=||||||||A0|Lh|G+|||
